Pipe ID,MATERIAL,DESCRIPTION,YEAR_INSTALLED,WORK_ORDER_NUMBER,ReportDate,StartDateT,CompletedD,Work Order Year,Request Type,FAILURE,Pipe AGE
P44999,DEL,Distribution,1941,1163228,12/13/2014,12/13/2014,12/13/2014,2014,Check For Leak/Break,1,78
P82382,DEL,Distribution,1931,1154609,11/18/2014,11/19/2014,11/19/2014,2014,Check For Leak/Break,1,88
P43895,DEL,Distribution,1937,1142328,10/22/2014,10/22/2014,10/22/2014,2014,Check For Leak/Break,1,82
P103377,DEL,Distribution,1939,1106866,8/7/2014,8/7/2014,8/7/2014,2014,Check For Leak/Break,1,80
P402945,DIP,Distribution,2013,1501608,8/8/2016,,,2016,Check For Leak/Break,1,6
P402951,DIP,Transmission,2013,1501608,8/8/2016,,,2016,Check For Leak/Break,1,6
P400687,DIP,Distribution,2015,1326381,9/14/2015,9/21/2015,9/21/2015,2015,Check For Leak/Break,1,4
P401368,DIP,Distribution,2015,1242411,5/4/2015,5/4/2015,5/4/2015,2015,Check For Leak/Break,1,4
P42797,DIP,Distribution,1938,1600808,12/25/2016,12/27/2016,12/27/2016,2016,Check For Leak/Break,1,81
P20210,DIP,Transmission,2006,1592528,12/12/2016,,,2016,Check For Leak/Break,1,13
P20337,DIP,Transmission,2006,1592528,12/12/2016,,,2016,Check For Leak/Break,1,13
P55265,DIP,Distribution,2008,1589172,12/8/2016,,,2016,Check For Leak/Break,1,11
P55277,DIP,Distribution,2008,1589172,12/8/2016,,,2016,Check For Leak/Break,1,11
P55278,DIP,Distribution,2008,1589172,12/8/2016,,,2016,Check For Leak/Break,1,11
P55279,DIP,Distribution,2008,1589172,12/8/2016,,,2016,Check For Leak/Break,1,11
P11071,DIP,Transmission,1998,1569431,11/14/2016,11/15/2016,11/15/2016,2016,Check For Leak/Break,1,21
P30136,DIP,Distribution,1905,1549768,10/19/2016,10/19/2016,10/19/2016,2016,Check For Leak/Break,1,114
P67090,DIP,Transmission,1967,1547508,10/15/2016,,,2016,Check For Leak/Break,1,52
P57599,DIP,Transmission,1949,1547468,10/15/2016,,,2016,Check For Leak/Break,1,70
P56042,DIP,Transmission,1948,1527902,9/19/2016,9/21/2016,9/21/2016,2016,Check For Leak/Break,1,71
P9279,DIP,Distribution,1995,1511566,8/22/2016,,,2016,Check For Leak/Break,1,24
P31953,DIP,Distribution,1913,1449192,5/27/2016,5/27/2016,5/27/2016,2016,Check For Leak/Break,1,106
P58280,DIP,Distribution,2007,1444819,5/20/2016,5/21/2016,5/21/2016,2016,Check For Leak/Break,1,12
P2522,DIP,Transmission,1998,1443718,5/17/2016,6/18/2016,6/18/2016,2016,Check For Leak/Break,1,21
P2521,DIP,Transmission,2001,1443718,5/17/2016,6/18/2016,6/18/2016,2016,Check For Leak/Break,1,18
P19888,DIP,Distribution,1999,1423888,4/15/2016,4/21/2016,4/21/2016,2016,Check For Leak/Break,1,20
P70221,DIP,Distribution,1993,1419820,4/6/2016,4/6/2016,4/6/2016,2016,Check For Leak/Break,1,26
P24499,DIP,Distribution,2000,1393806,2/10/2016,2/21/2016,2/21/2016,2016,Check For Leak/Break,1,19
P28760,DIP,Distribution,1930,1385989,1/25/2016,1/25/2016,1/25/2016,2016,Check For Leak/Break,1,89
P13405,DIP,Distribution,1948,1382828,1/9/2016,1/9/2016,1/9/2016,2016,Check For Leak/Break,1,71
P13421,DIP,Distribution,1968,1382828,1/9/2016,1/9/2016,1/9/2016,2016,Check For Leak/Break,1,51
P1130521,DIP,Transmission,2030,1372476,12/16/2015,12/16/2015,12/16/2015,2015,Check For Leak/Break,1,-11
P60038,DIP,Distribution,1923,779548,6/28/2014,10/6/2015,10/6/2015,2014,Check For Leak/Break,1,96
P55540,DIP,Transmission,1948,777805,6/21/2014,6/25/2014,6/25/2014,2014,Check For Leak/Break,1,71
P55541,DIP,Transmission,1948,777805,6/21/2014,6/25/2014,6/25/2014,2014,Check For Leak/Break,1,71
P52664,DIP,Distribution,2007,774339,6/5/2014,6/6/2014,6/6/2014,2014,Check For Leak/Break,1,12
P59455,DIP,Distribution,1947,753130,4/13/2014,3/28/2015,3/28/2015,2014,Check For Leak/Break,1,72
P65700,DIP,Distribution,1910,738638,2/28/2014,3/4/2014,3/4/2014,2014,Check For Leak/Break,1,109
P12329,DIP,Distribution,2001,731562,2/1/2014,2/10/2014,2/10/2014,2014,Check For Leak/Break,1,18
P59439,DIP,Distribution,1947,731463,1/31/2014,4/4/2014,4/4/2014,2014,Check For Leak/Break,1,72
P68457,DIP,Distribution,1948,729006,1/26/2014,2/10/2014,2/10/2014,2014,Check For Leak/Break,1,71
P42818,DIP,Distribution,1928,725166,1/7/2014,1/7/2014,1/7/2014,2014,Check For Leak/Break,1,91
P73713,DIP,Distribution,1947,2084889,12/22/2017,12/22/2017,12/22/2017,2017,Check For Leak/Break,1,72
P73713,DIP,Distribution,1947,2075709,12/12/2017,12/21/2017,12/21/2017,2017,Check For Leak/Break,1,72
P109436,DIP,Distribution,1946,2073228,12/10/2017,12/10/2017,12/11/2017,2017,Check For Leak/Break,1,73
P42797,DIP,Distribution,1938,2032269,10/30/2017,10/30/2017,10/31/2017,2017,Check For Leak/Break,1,81
P74976,DIP,Distribution,1975,2020895,10/20/2017,10/20/2017,10/20/2017,2017,Check For Leak/Break,1,44
P52664,DIP,Distribution,2007,1918248,7/21/2017,7/22/2017,7/22/2017,2017,Check For Leak/Break,1,12
